age,employment_status,income,credit_history,savings_account,num_existing_loans,loan_amount,loan_duration_months,debt_ratio,payment_history_score,housing,purpose,creditworthy
23,employed,49957.25,existing paid duly,$5000-$10000,1,10316.93,24,0.096,70.1,rent,appliances,1
58,employed,42340.73,delay in past,$1000-$5000,1,5222.6,18,0.049,49.1,rent,car,1
52,employed,20084.25,existing paid duly,$1000-$5000,1,13264.6,12,0.701,46.5,rent,appliances,1
41,self-employed,52173.85,existing paid duly,$5000-$10000,2,16849.62,24,0.206,86.3,free,business,1
41,employed,27666.1,all paid duly,< $1000,1,20374.03,36,0.148,58.8,own,education,1
62,student,4000.0,existing paid duly,< $1000,0,16930.12,6,1.5,44.0,own,car,0
23,unemployed,9431.15,delay in past,$1000-$5000,4,2615.56,24,0.139,70.9,own,other,0
54,student,9366.07,all paid duly,$1000-$5000,1,4855.93,24,0.161,100.0,own,car,1
29,employed,53295.49,existing paid duly,$5000-$10000,0,10867.99,18,0.082,58.0,rent,appliances,1
23,retired,28764.23,all paid duly,$5000-$10000,0,5523.02,18,0.133,100.0,rent,business,1
45,employed,14561.72,delay in past,$1000-$5000,1,819.13,18,0.037,64.3,own,car,0
68,employed,23563.98,existing paid duly,> $10000,0,15218.42,18,0.29,68.4,own,education,1
56,employed,76082.96,existing paid duly,none,1,7850.38,48,0.03,94.0,rent,other,1
57,retired,15203.45,all paid duly,> $10000,0,1788.95,24,0.034,79.1,own,other,1
55,self-employed,63117.31,existing paid duly,none,0,10422.31,60,0.025,79.3,own,car,1
59,student,6076.57,critical account,$1000-$5000,2,21511.13,18,1.5,12.4,rent,car,0
45,employed,46254.85,existing paid duly,none,0,13731.5,36,0.098,48.2,rent,car,1
25,retired,18680.66,existing paid duly,$1000-$5000,2,3955.53,24,0.104,91.0,own,appliances,1
61,employed,53844.27,delay in past,< $1000,1,11055.2,36,0.072,59.9,own,car,1
41,employed,47154.19,existing paid duly,none,0,18083.59,48,0.097,67.4,rent,car,1
44,retired,20234.37,existing paid duly,$1000-$5000,1,1635.64,24,0.048,100.0,own,furniture,1
37,employed,28459.79,all paid duly,$1000-$5000,2,14232.81,24,0.239,100.0,free,other,1
28,employed,49217.44,all paid duly,none,0,14564.82,60,0.049,89.9,rent,furniture,1
66,self-employed,29928.52,delay in past,$1000-$5000,3,16362.46,60,0.122,23.8,rent,business,0
58,employed,51732.83,delay in past,none,2,3771.16,60,0.01,48.0,rent,car,0
51,employed,86367.14,critical account,none,3,20920.72,12,0.268,20.0,free,business,0
39,employed,66265.18,critical account,none,1,7123.51,6,0.156,,own,education,0
60,employed,56313.98,existing paid duly,$1000-$5000,1,1584.42,18,0.017,53.1,own,other,1
46,student,7760.3,all paid duly,$1000-$5000,0,2122.81,36,0.099,60.5,rent,business,1
41,self-employed,16714.7,existing paid duly,$1000-$5000,1,9893.9,6,1.186,29.3,own,car,1
41,employed,24173.99,critical account,$5000-$10000,1,1343.63,18,0.021,38.0,rent,furniture,1
30,employed,65203.99,delay in past,$1000-$5000,1,16486.34,24,0.108,8.6,own,car,1
23,employed,32561.34,existing paid duly,$1000-$5000,1,18252.74,12,0.644,64.2,own,car,1
47,self-employed,39273.61,existing paid duly,> $10000,1,798.82,36,0.01,82.5,own,other,1
64,retired,22608.54,delay in past,,0,16295.26,12,0.629,37.0,rent,furniture,0
22,retired,15078.81,critical account,none,1,20615.2,48,0.194,15.5,own,appliances,0
62,employed,25678.39,delay in past,none,0,1092.18,18,0.022,48.8,own,car,1
